"scid","sname","scity","sdist"
"1527","אורט אבין","נתניה","תל אביב"
"1528","אורט גוטמן","נתניה","תל אביב"
"1529","אורט ליבוביץ","נתניה","תל אביב"
"1564","שובו ","נתניה","תל אביב"
"1603","אופק","עברון","צפון"
"1407","עומרים","עומר","דרום"
"1554","גוונים ","עין המפרץ ","צפון"
"1238","מבואות עירון","עין שמר","חיפה"
"1543","רעות","עין שמר","חיפה"
"1231","איל","עכו","צפון"
"1384","מרכז פסג""ה","עכו","צפון "
"1559","לוי אשכול","עכו","צפון"
"1587","אשכול","עכו","צפון"
"1004","שדות","עמק חפר","מרכז"
"1143","בית חינוך איזורי בית יצחק","עמק חפר","מרכז"
"1572","משגב","עמק חפר","מרכז"
"1005","גיניגר","עמק יזרעאל","צפון"
"1523","אורט עפולה","עפולה","צפון"
"1583","בן צבי","עפולה","צפון"
"1703","כפר נוער ניר העמק","עפולה","צפון"
"1423","יעלים עופרים","ערד","דרום"
"1640","אורט ערד","ערד","דרום"
"1694","אור מנחם בנות","ערד","דרום"
"1127","אלראזי","ערערה","דרום"
"1235","גדרות","עשרת","מרכז"
"1006","גלי עתלית","עתלית","חיפה"
"1237","שיל""ת","פדואל","מרכז"
"1169","ישורון","פרדס חנה-כרכור","חיפה"
"1170","מרחבים","פרדס חנה-כרכור","חיפה"
"1171","רבין","פרדס חנה-כרכור","חיפה"
"1172","שבילים","פרדס חנה-כרכור","חיפה"
"1232","כרכור קהילתי","פרדס חנה-כרכור","חיפה"
"1234","אלונים","פרדס חנה-כרכור","חיפה"
"1306","שילה","פרדס חנה-כרכור","חיפה"
"1009","תפוז","פרדסיה","מרכז"
"1010","נוף גליל","פרוד","צפון"
"1007","פיק''א בית חינוך מידעני","פתח תקווה","תל אביב"
"1008","אולפנית בני- עקיבא ישורון  ","פתח תקווה","תל אביב"
"1011","מעלות חיים","פתח תקווה","תל אביב"
"1012","יובלים","פתח תקווה","תל אביב"
"1168","אולפנית ישורון","פתח תקווה","תל אביב"
"1280","אמיר","פתח תקווה","תל אביב"
